合約醫院代碼,合約醫院名稱,合約醫院名稱_簡,所在縣市,郵遞區號,合約醫院地址,緯度,經度,看診科別,合約醫院電話,合約醫院網站,合約起始日,合約終止日,有效
C1,衛生福利部臺中醫院,臺中醫院,臺中市,40343,臺中市西區三民路1段199號,24.1406262,120.6762712,家庭醫學科,(04)2229-4411,http://www.taic.mohw.gov.tw/,2006/11/01,,T
C2,童綜合醫療社團法人童綜合醫院,童綜合醫院,臺中市,43503,臺中市梧棲區臺灣大道八段699號,24.2472297,120.5428236,家庭醫學科,(04)2658-1919,http://www.sltung.com.tw/,2009/01/01,,T
C3,彰化基督教醫療財團法人彰化基督教醫院,彰化基督教醫院,彰化縣,50006,彰化縣彰化市南校街135號,24.0715309,120.5446075,家庭醫學科,(04)723-8595,http://www.cch.org.tw/,2014/03/17,,T
C4,埔基醫療財團法人埔里基督教醫院,埔里基督教醫院,南投縣,54546,南投縣埔里鎮鐵山路1號,23.9704493,120.9465243,感染科,(049)291-2151,http://www.pch.org.tw/,2014/03/17,,T
E1,衛生福利部花蓮醫院,花蓮醫院,花蓮縣,97061,花蓮縣花蓮市中正路600號,23.9794974,121.6111125,家庭醫學科,(03)835-8141,http://www.hwln.mohw.gov.tw/,2006/10/20,,T
E2,衛生福利部臺東醫院,臺東醫院,臺東縣,95043,臺東縣臺東市五權街1號,22.7572027,121.1498616,家庭醫學科,(089)324-112,http://www.tait.mohw.gov.tw/,2014/03/17,,T
N1,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,馬偕醫院,臺北市,10449,臺北市中山區中山北路2段92號,25.0588322,121.5223675,家庭醫學科,(02)2543-3535,http://www.mmh.org.tw,2006/10/20,,T
N10,衛生福利部苗栗醫院,苗栗醫院,苗栗縣,36054,苗栗縣苗栗市為公路747號,24.5755097,120.8410317,家庭醫學科,(037)261-920,http://www.mil.mohw.gov.tw/,2014/03/17,,T
N11,衛生福利部金門醫院,金門醫院,金門縣,89148,金門縣金湖鎮復興路2號,24.4406948,118.4180251,家庭醫學科,(082)332-546,http://www.kmhp.mohw.gov.tw/,2014/12/15,,T
N12,福建省連江縣立醫院,連江縣立醫院,連江縣,20941,連江縣南竿鄉復興村217號,26.1609852,119.9488321,家庭醫學科,(0836)23995,http://www.matsuh.gov.tw/,2014/12/15,,T
N13,佛教慈濟醫療財團法人台北慈濟醫院,台北慈濟醫院,新北市,23142,新北市新店區建國路289號,24.9860362,121.535297,家庭醫學科,(02)6628-9779,http://taipei.tzuchi.com.tw/,2017/3/1,,T
N2,衛生福利部基隆醫院,基隆醫院,基隆市,20147,基隆市信義區信二路268號,25.1302624,121.7481291,家庭醫學科,(02)2429-2525,http://www.kln.mohw.gov.tw/,2009/01/01,,T
N3,國立臺灣大學醫學院附設醫院,臺大醫院,臺北市,10048,臺北市中正區常德街1號,25.0416163,121.5171944,家庭醫學科第10診（旅遊醫學特別門診）,(02)2312-3456,http://www.ntuh.gov.tw/ntuh_chinese.aspx,2008/01/01,,T
N4,壢新醫院桃園國際機場醫療中心,壢新醫院機場醫療中心,桃園市,33758,桃園市大園區航站南路15號,25.0811077,121.2368287,不分科,(03)398-3456,http://www.landseedhospital.com/airport-clinic,2008/01/01,,T
N5,國立臺灣大學醫學院附設醫院新竹分院,臺大醫院新竹分院,新竹市,30059,新竹市北區經國路一段442巷25號,24.8164670,120.9795262,家庭醫學科,(03)532-6151,http://www.hch.gov.tw/,2009/01/01,,T
N6,三軍總醫院附設民眾診療服務處內湖院區,三軍總醫院內湖院區,臺北市,11490,臺北巿內湖區成功路二段325號,25.0717589,121.5926110,家庭醫學科,(02)8792-3311,http://www.tsgh.ndmctsgh.edu.tw/,2011/04/12,,T
N7,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,亞東紀念醫院,新北市,22060,新北市板橋區南雅南路二段21號,24.9972647,121.4527715,家庭醫學科,(02)8966-7000,http://www.femh.org.tw/,2014/03/17,,T
N8,財團法人天主教靈醫會羅東聖母醫院,羅東聖母醫院,宜蘭縣,26546,宜蘭縣羅東鎮中正南路160號,24.6718382,121.7715737,家庭醫學科,(03)954-4106,http://www.smh.org.tw/,2014/03/17,,T
N9,東元綜合醫院,東元綜合醫院,新竹縣,30268,新竹縣竹北市縣政二路69號,24.8237011,121.0144284,家庭醫學科/感染科,(03)552-7000,http://w3.tyh.com.tw/,2014/03/17,,T
S1,高雄市立小港醫院,小港醫院,高雄市,81267,高雄市小港區山明路482號,22.5674103,120.3633173,家庭醫學科,(07)803-6783,http://www.kmhk.kmu.edu.tw/,2006/10/20,,T
S2,國立成功大學醫學院附設醫院,成大醫院,臺南市,70146,臺南市北區勝利路138號,23.0021803,120.2189867,家庭醫學科,(06)235-3535,http://www.hosp.ncku.edu.tw/,2007/12/01,,T
S3,高雄市立聯合醫院,高雄市立聯合醫院,高雄市,80457,高雄市鼓山區中華一路976號,22.6549270,120.2911940,小兒科,(07)555-2565,http://www.kmuh.gov.tw/,2008/01/01,,T
S4,國立臺灣大學醫學院附設醫院雲林分院,臺大醫院雲林分院,雲林縣,64041,雲林縣斗六市雲林路二段579號,23.6975466,120.5259195,家庭醫學科,(05)532-3911,http://www.ylh.ntuh.gov.tw/,2014/03/17,,T
S5,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,聖馬爾定醫院,嘉義市,60069,嘉義市東區大雅路二段565號,23.4773947,120.4680192,健康檢查中心,(05)275-6000,http://www.stm.org.tw/,2014/03/17,,T
S6,長庚醫療財團法人嘉義長庚紀念醫院,嘉義長庚紀念醫院,嘉義縣,61363,嘉義縣朴子市嘉朴路西段6號,23.4623035,120.2859553,家庭醫學科,(05)362-1000,https://www.cgmh.org.tw/,2014/03/17,,T
S7,屏基醫療財團法人屏東基督教醫院,屏東基督教醫院,屏東縣,90059,屏東縣屏東市大連路60號,22.6821290,120.5026220,家庭醫學科,(08)736-8686,https://www.ptch.org.tw/,2014/03/17,,T
S8,三軍總醫院澎湖分院附設民眾診療服務處,三軍總醫院澎湖分院,澎湖縣,88056,澎湖縣馬公市前寮里90號,23.5552607,119.5833391,家庭醫學科,(06)921-1116,http://afph.tsgh.ndmctsgh.edu.tw/,2014/12/15,,T
